Date,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","CAPITAL GOODS, EXCEPT AUTOMOTIVE",CONSUMER GOODS,"FOODS, FEEDS, AND BEVERAGES",INDUSTRIAL SUPPLIES AND MATERIALS,OTHER GOODS
2019-01,29685606011,54331936824,56358827870,12644009005,44950507635,8965165729
2019-02,29158685430,49793775442,48344054105,11072165193,37769028496,8692249924
2019-03,33732910210,57161020388,50246512101,13294785046,44147909110,9718542268
2019-04,31431903601,55664491361,53232710594,13324195211,45536655454,9444819220
2019-05,33464007823,59129342809,55837927149,13374820973,48996953683,10070663660
2019-06,32278897256,57021182865,51560575131,12404315309,42739922548,10230502263
2019-07,31418806173,58926891588,59709090714,12705244373,47132722515,10218649065
2019-08,32469109677,57692763752,58728025609,12196919202,44747759322,9241848523
2019-09,30047678791,55788883962,57880611040,11826211792,40860301414,10492241553
2019-10,31703553901,59819799354,62995830782,12856870164,42599002944,11944502083
2019-11,30757711064,54779236593,53544174935,11746336524,39244658816,9630711938
2019-12,29952365457,56978908573,50250798521,12385159970,42063609458,10731691871
2020-01,27529259608,52170770392,51964482044,13146478122,42858931993,9388213673
2020-02,28441334696,46682281244,45754558883,11838129975,36471807946,8934731720
2020-03,29022538071,54278393819,45657150690,13627862872,41235824532,9893393203
2020-04,12805208934,47184187145,42197706292,12524431087,42982369695,8117031959
2020-05,9559681046,47660976400,42703430753,12414647790,44214231015,7126395871
2020-06,20106678598,52847733119,50332610644,12624658637,36631308908,7460113172
2020-07,25166598503,56045970410,56359610283,12718628659,42008308498,8726184118
2020-08,28670961927,54435080650,59155060830,12899074443,38323508181,8967914547
2020-09,29883289899,56137442331,61002069177,12786383120,36231280073,9823294935
2020-10,34072240598,59221732467,66252661572,13392899047,37849473550,9310892373
2020-11,32169794735,57272170251,63375887895,12935114304,37437022665,9537272289
2020-12,33312016140,60717677391,58844343982,13184614295,41056002532,9894810881
2021-01,28562074949,53574368660,58635289036,13496135547,41187628972,7732289865
2021-02,26328406660,51437442247,53485847010,12238792757,41482680307,8641826034
2021-03,32624755451,64220503697,62144896226,15187089186,51207023191,11343064125
